Location,Latitude,Longitude,Extracted
CHU,2.606845,32.93758,26
KAG,1.8029557143,33.1035185714,20
KTC,3.1635,32.52233,24
NGO,3.66861,32.59131,12
OLO,3.4839,32.011625,12
ORB,3.69251,31.7801,20
TUM,3.24197,32.76076,24
UWA,2.24844,32.248855,25
BN,0.938593,33.974824,12
