ABO,Abok
ACA,Acankoma
AG,Agoba B
AIN,Aina
AKA,Akayo-debe
ALE,Alege
ALI,Alim
ALI,Aliodri
APU,Aputu-Lwaa
ASW,Aswa Bridge
ATM,Atanga Mission
BOL,Bola
CE,Cefo
CHU,Chua
DUK,Duku
GAN,Gangu
GOR,Gorodona
JIA,Jaiko
KIL,Kilak
KTC,Kitgum town council
LAG,Lagwel
LAK,Lakwala
LEA,Lea
LIB,Liba
MOP,Moyipi
MWA,Mwanya
NGO,Ngomoromo
OCA,Ocala
OCL,Ocol
OD,Odworo
OGU,Oguk
OKS,Okidi South
OLE,Olepo
OLO,Olobo
OLW,Olwi
OMI,Omido
OPU,Opuyu
ORB,Orubakulem
ORI,Ori
ORV,Orivu
OSG,Osugo East West
PAW,Pawor
TEO,Te-Okot
TUM,Tumangu
UWA,Uganda Wildlife Authority
WEN,Wende
